Timestamp,Filename,Scanner,Zoom,FrameRate,Averaging,Resolution,FOV_um,PowerPercent,PockelsValue,ModulationVoltage,FeedbackVoltage,PowerWatts,ZPosition,XPosition,YPosition,Notes
2025-05-12 01:28:36,MyBubbles_1Zoom,Galvo,1.00,0.5,10,512x512,-200.8x200.8,100.0,1.000,NA,NA,0.003,24459.8,3536.5,13978.1,
2025-05-12 01:28:38,MyBubbles_1Zoom,Galvo,1.00,0.5,10,512x512,-200.8x200.8,100.0,1.000,NA,NA,0.003,24459.8,3536.5,13978.1,
2025-05-12 01:28:41,MyBubbles_1Zoom,Galvo,1.00,0.5,10,512x512,-200.8x200.8,100.0,1.000,NA,NA,0.003,24459.8,3536.5,13978.1,
2025-05-12 01:28:43,MyBubbles_1Zoom,Galvo,1.00,0.5,10,512x512,-200.8x200.8,100.0,1.000,NA,NA,0.003,24459.8,3536.5,13978.1,
2025-05-12 01:28:45,MyBubbles_1Zoom,Galvo,1.00,0.5,10,512x512,-200.8x200.8,100.0,1.000,NA,NA,0.003,24459.8,3536.5,13978.1,
2025-05-12 01:28:47,MyBubbles_1Zoom,Galvo,1.00,0.5,10,512x512,-200.8x200.8,100.0,1.000,NA,NA,0.003,24459.8,3536.5,13978.1,
2025-05-12 01:28:49,MyBubbles_1Zoom,Galvo,1.00,0.5,10,512x512,-200.8x200.8,100.0,1.000,NA,NA,0.003,24459.8,3536.5,13978.1,
2025-05-12 01:28:51,MyBubbles_1Zoom,Galvo,1.00,0.5,10,512x512,-200.8x200.8,100.0,1.000,NA,NA,0.003,24459.8,3536.5,13978.1,
2025-05-12 01:28:54,MyBubbles_1Zoom,Galvo,1.00,0.5,10,512x512,-200.8x200.8,100.0,1.000,NA,NA,0.003,24459.8,3536.5,13978.1,
2025-05-12 01:43:39,AF_4_2_3Zoom,Galvo,3.00,0.5,10,512x512,-66.9x66.9,100.0,1.000,NA,NA,0.003,24307.4,3942.4,13575.4,
2025-05-12 01:43:41,AF_4_2_3Zoom,Galvo,3.00,0.5,10,512x512,-66.9x66.9,100.0,1.000,NA,NA,0.003,24307.4,3942.4,13575.4,
2025-05-12 01:43:43,AF_4_2_3Zoom,Galvo,3.00,0.5,10,512x512,-66.9x66.9,100.0,1.000,NA,NA,0.003,24307.4,3942.4,13575.4,
2025-05-12 01:43:45,AF_4_2_3Zoom,Galvo,3.00,0.5,10,512x512,-66.9x66.9,100.0,1.000,NA,NA,0.003,24307.4,3942.4,13575.4,
2025-05-12 01:43:47,AF_4_2_3Zoom,Galvo,3.00,0.5,10,512x512,-66.9x66.9,100.0,1.000,NA,NA,0.003,24307.4,3942.4,13575.4,
2025-05-12 01:43:49,AF_4_2_3Zoom,Galvo,3.00,0.5,10,512x512,-66.9x66.9,100.0,1.000,NA,NA,0.003,24307.4,3942.4,13575.4,
2025-05-12 01:43:51,AF_4_2_3Zoom,Galvo,3.00,0.5,10,512x512,-66.9x66.9,100.0,1.000,NA,NA,0.003,24307.4,3942.4,13575.4,
2025-05-12 01:43:53,AF_4_2_3Zoom,Galvo,3.00,0.5,10,512x512,-66.9x66.9,100.0,1.000,NA,NA,0.003,24307.4,3942.4,13575.4,
2025-05-12 01:43:56,AF_4_2_3Zoom,Galvo,3.00,0.5,10,512x512,-66.9x66.9,100.0,1.000,NA,NA,0.003,24307.4,3942.4,13575.4,
2025-05-12 01:43:58,AF_4_2_3Zoom,Galvo,3.00,0.5,10,512x512,-66.9x66.9,100.0,1.000,NA,NA,0.003,24307.4,3942.4,13575.4,
